group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G1 Shallow-curl,9,1835150068,0.173726531904175,0.563520834432877,0.843378217630074,1.26859883727476,0.377059502805446,0,4.65140862928862,0.102546200296822,0.0383808814525769,2.67180420083701,0,1,1,
G1 Shallow-curl,10,441952633,0.182635228735509,0.523210629876117,1.0507668477711,1.05087053464014,0.351112478236276,180,3.52422560078628,0.0726345959683289,0.0362904533288648,2.0014794334508,0,1,1,
G1 Shallow-curl,11,621278452,0.192280214806508,0.577367785350633,1.07655536552735,1.24613429496022,0.296884673640237,180,8.9411614041278,0.130574413605293,0.0443148094703577,2.94651867323574,0,1,1,
G1 Shallow-curl,12,1470361970,0.199333412145735,0.55643510165351,0.887174460335608,1.24868843382361,0.273623632439319,180,2.85570665479118,0.0780183146486865,0.0370130581657433,2.10785918578581,0,1,1,
G1 Shallow-curl,13,279192926,0.199581795603881,0.625029824971449,0.857955405735467,1.22674148240541,0.237613465304448,180,0.220943782811738,0.085160724686474,0.0334267618145273,2.54768096170964,0,1,1,
G1 Shallow-curl,14,1014352153,0.179773732535866,0.562211343972873,0.948931103027809,1.15856214302701,0.297822302601981,180,8.74709096499618,0.0788387135328414,0.0356969629101318,2.20855521326339,0,1,1,
G1 Shallow-curl,15,1940968812,0.208601139780997,0.550817119866211,0.98178377056838,1.22096937505504,0.225461613116725,180,2.58061721161854,0.0790329663282636,0.031960865415429,2.47280432807401,0,1,1,
G1 Shallow-curl,16,757520650,0.185949115954692,0.59256300497054,1.02976825616864,1.05824332672943,0.263396249763342,0,7.59584896559554,0.065932038969188,0.0372572066332541,1.76964525596882,0,1,1,
G1 Shallow-curl,17,745191514,0.208564086538077,0.554353915842372,0.999125154753544,1.19087464855525,0.296187617981372,0,3.86212425086613,0.0904206649958196,0.0305638305932947,2.95842056576693,0,1,1,
G1 Shallow-curl,18,65502429,0.221594644546626,0.455102343004581,1.001808779865,1.22058970078002,0.230344539341874,180,11.2623024662703,0.0860819870062669,0.0325655796559934,2.64334269236397,0,1,1,
G1 Shallow-curl,19,1641268602,0.227073285320639,0.639816278332309,0.887623870927726,1.02758708893159,0.307363990066803,180,6.5776348415772,0.0610731917287589,0.02597112145756,2.35158084446064,0,1,1,
G1 Shallow-curl,20,1007655820,0.218908283836117,0.59523171567398,1.05116308845119,1.06874538420132,0.346136363843169,0,3.89161295151256,0.0631988932018409,0.0346094910153274,1.82605670721514,0,1,1,
G1 Shallow-curl,21,1664843059,0.212650538001495,0.630652510513241,1.04729066187147,1.16186535194443,0.214005270976451,180,1.2653795137568,0.0749650133273798,0.0355230405845579,2.110320853558,0,1,1,
G1 Shallow-curl,22,247882559,0.214571672813781,0.502064114965089,0.896972857011439,1.10320317865632,0.294730450599563,180,5.27174793815051,0.0948775933334901,0.0515459939815748,1.84063951443839,0,1,1,
